statefip,puma,mpop2000,pumapop2000,mpopshare2000,metropuma03,mpop2010,pumapop2010,mpopshare2010,metropuma13
6,300,0,182522,0,0,0,191208,0,0
6,701,100502,100502,1,1,111389,111389,1,1
6,702,102668,102668,1,1,108611,108611,1,1
6,1100,0,114318,0,0,0,126790,0,0
6,1301,115032,115032,1,1,114777,114777,1,1
6,1302,109213,109213,1,1,118671,118671,1,1
6,1303,128866,128866,1,1,129625,129625,1,1
6,1304,117294,117294,1,1,117784,117784,1,1
6,1305,94165,94165,1,1,124585,124585,1,1
6,1306,111499,111499,1,1,112211,112211,1,1
6,1307,114873,114873,1,1,120474,120474,1,1
6,1308,92750,92750,1,1,107213,107213,1,1
6,1309,65124,65124,1,1,103685,103685,1,1
6,1500,0,135909,0,0,0,138098,0,0
6,1700,156228,156228,1,1,181058,181058,1,1
6,1901,127393,127393,1,1,144724,144724,1,1
6,1902,145922,145922,1,1,173649,173649,1,1
6,1903,95836,95836,1,1,101880,101880,1,1
6,1904,154691,154691,1,1,170140,170140,1,1
6,1905,92073,92073,1,1,108177,108177,1,1
6,1906,74590,74590,1,1,102642,102642,1,1
6,1907,108319,108319,1,1,129238,129238,1,1
6,2300,0,126518,0,0,0,134623,0,0
6,2500,142361,142361,1,1,174528,174528,1,1
6,2901,142684,142684,1,1,189962,189962,1,1
6,2902,139806,139806,1,1,200370,200370,1,1
6,2903,137650,137650,1,1,155144,155144,1,1
6,2904,84292,84292,1,1,107850,107850,1,1
6,2905,157223,157223,1,1,186305,186305,1,1
6,3100,135242,135242,1,1,152982,152982,1,1
6,3300,0,144574,0,0,0,152506,0,0
6,3701,111960,111960,1,1,139801,139801,1,1
6,3702,150289,150289,1,1,188102,188102,1,1
6,3703,128345,128345,1,1,163632,163632,1,1
6,3704,126488,126488,1,1,164268,164268,1,1
6,3705,154440,154440,1,1,166932,166932,1,1
6,3706,124816,124816,1,1,136414,136414,1,1
6,3707,142791,142791,1,1,150967,150967,1,1
6,3708,131519,131519,1,1,136833,136833,1,1
6,3709,108622,108622,1,1,110202,110202,1,1
6,3710,171674,171674,1,1,174037,174037,1,1
6,3711,164262,164262,1,1,163941,163941,1,1
6,3712,148089,148089,1,1,146895,146895,1,1
6,3713,106639,106639,1,1,109666,109666,1,1
6,3714,111617,111617,1,1,109128,109128,1,1
6,3715,118278,118278,1,1,120111,120111,1,1
6,3716,111873,111873,1,1,110351,110351,1,1
6,3717,182457,182457,1,1,189098,189098,1,1
6,3718,131745,131745,1,1,135128,135128,1,1
6,3719,193999,193999,1,1,190790,190790,1,1
6,3720,115990,115990,1,1,118143,118143,1,1
6,3721,133680,133680,1,1,133453,133453,1,1
6,3722,158134,158134,1,1,159310,159310,1,1
6,3723,133931,133931,1,1,141253,141253,1,1
6,3724,156949,156949,1,1,167320,167320,1,1
6,3725,159458,159458,1,1,168469,168469,1,1
6,3726,99212,99212,1,1,101503,101503,1,1
6,3727,142531,142531,1,1,151268,151268,1,1
6,3728,99514,99514,1,1,102511,102511,1,1
6,3729,190047,190047,1,1,195763,195763,1,1
6,3730,164680,164680,1,1,164376,164376,1,1
6,3731,110193,110193,1,1,108399,108399,1,1
6,3732,190042,190042,1,1,176714,176714,1,1
6,3733,123129,123129,1,1,112679,112679,1,1
6,3734,199722,199722,1,1,195576,195576,1,1
6,3735,199783,199783,1,1,193764,193764,1,1
6,3736,115372,115372,1,1,114737,114737,1,1
6,3737,127993,127993,1,1,128448,128448,1,1
6,3738,134669,134669,1,1,131401,131401,1,1
6,3739,163767,163767,1,1,166483,166483,1,1
6,3740,128604,128604,1,1,128628,128628,1,1
6,3741,148016,148016,1,1,143492,143492,1,1
6,3742,131336,131336,1,1,131781,131781,1,1
6,3743,123267,123267,1,1,124007,124007,1,1
6,3744,159929,159929,1,1,170583,170583,1,1
6,3745,117391,117391,1,1,122254,122254,1,1
6,3746,107844,107844,1,1,109831,109831,1,1
6,3747,156055,156055,1,1,158277,158277,1,1
6,3748,168814,168814,1,1,177765,177765,1,1
6,3749,116468,116468,1,1,113695,113695,1,1
6,3750,162847,162847,1,1,172913,172913,1,1
6,3751,130592,130592,1,1,148133,148133,1,1
6,3752,173125,173125,1,1,171357,171357,1,1
6,3753,106192,106192,1,1,110238,110238,1,1
6,3754,133215,133215,1,1,136000,136000,1,1
6,3755,118345,118345,1,1,121204,121204,1,1
6,3756,114900,114900,1,1,117361,117361,1,1
6,3757,149791,149791,1,1,156629,156629,1,1
